"","Locator","Date","LabEC","RCardEC","Dog_biomarker","Hu_biomarker","nObs"
"1","MAS_OSD0979","2024-04-30","NS","40","NS","NS",NA
"2","MAS_OSD0979","2024-05-01","NS","0","NS","NS",NA
"3","MAS_OSD0979","2024-05-08","NS","2080","NS","NS",NA
"4","MAS_OSD0979","2024-07-23","NS","80","NS","NS",NA
"5","MAS_OSD3966","2024-07-23","NS","200","NS","NS",NA
"6","MAS_OSD3966","2024-08-13","NS","120","NS","NS",NA
"7","MAS_CNV5011","2024-01-29","NS","840","NS","NS",NA
"8","MAS_CNV5011","2024-02-07","690","480","0","0",NA
"9","MAS_CNV5011","2024-02-14","NS","840","NS","NS",NA
"10","MAS_CNV5011","2024-03-14","87","240","NS","NS",NA
"11","MAS_CNV5011","2024-04-02","26","40","NS","NS",NA
"12","MAS_CNV5011","2024-04-25","NS","3640","NS","NS",NA
"13","MAS_CNV5011","2024-04-30","NS","200","NS","NS",NA
"14","MAS_CNV5011","2024-05-08","NS","0","NS","NS",NA
"15","MAS_CNV5011","2024-05-22","NS","680","NS","NS",NA
"16","MAS_CNV5011","2024-07-23","NS","NS","NS","NS","1"
"17","MAS_CNV5011_S","2024-02-14","NS","840","NS","NS",NA
"18","MAS_CNV5011_S","2024-03-14","NS","40","NS","NS",NA
"19","MAS_CNV5011_SE","2024-02-07","NS","360","NS","NS",NA
"20","MAS_CNV5011_SE","2024-02-14","NS","0","NS","NS",NA
"21","MAS_CNV5011_SE","2024-03-14","NS","40","NS","NS",NA
"22","MAS_CB3070","2024-02-07","NS","0","NS","NS",NA
"23","MAS_CB3070","2024-02-14","NS","0","NS","NS",NA
"24","MAS_CB3070","2024-03-14","NS","0","NS","NS",NA
"25","MAS_OSD0999","2024-02-07","NS","0","NS","NS",NA
"26","MAS_OSD0999","2024-02-14","NS","40","NS","NS",NA
"27","MAS_OSD0999","2024-03-14","NS","0","NS","NS",NA
"28","MAS_OSD0998","2024-02-07","NS","0","NS","NS",NA
"29","MAS_OSD0998","2024-02-14","NS","0","NS","NS",NA
"30","MAS_OSD0998","2024-03-14","NS","0","NS","NS",NA
"31","MAS_18PLS_1","2024-02-07","NS","120","NS","NS",NA
"32","MAS_18PLS_1","2024-03-14","NS","40","NS","NS",NA
"33","MAS_18PLS_2","2024-02-14","NS","0","NS","NS",NA
"34","MAS_18PLS_2","2024-03-14","NS","0","NS","NS",NA
