"","Locator","Date","LabEC","RCardEC","Dog_biomarker","Hu_biomarker","nObs"
"1","MAS_CNV2603_CB","2024-11-07","NS","0","NS","NS",NA
"2","MAS_CNV2603","2024-01-29","NS","1200","NS","NS",NA
"3","MAS_CNV2603","2024-02-07","290","440","0","210",NA
"4","MAS_CNV2603","2024-02-14","NS","40","NS","NS",NA
"5","MAS_CNV2603","2024-03-14","580","560","0","510",NA
"6","MAS_CNV2603","2024-03-18","NS","0","NS","NS",NA
"7","MAS_CNV2603","2024-04-02","NS","40","NS","NS",NA
"8","MAS_CNV2603","2024-04-22","310","360","0","0",NA
"9","MAS_CNV2603","2024-04-30","NS","280","NS","NS",NA
"10","MAS_CNV2603","2024-05-08","NS","640","NS","NS",NA
"11","MAS_CNV2603","2024-07-15","NS","NS","NS","NS","1"
"12","MAS_CNV2603","2024-11-07","NS","0","NS","NS",NA
"13","MAS_CB2241","2024-04-22","NS","NS","NS","NS","1"
"14","MAS_CB2241","2024-07-15","NS","NS","NS","NS","1"
"15","MAS_CB2241","2024-11-07","NS","0","NS","NS",NA
"16","MAS_CB2240","2024-04-22","NS","NS","NS","NS","1"
"17","MAS_CB2240","2024-07-15","NS","NS","NS","NS","1"
"18","MAS_CB2240","2024-11-07","NS","80","NS","NS",NA
"19","MAS_CB2242","2024-04-22","NS","NS","NS","NS","1"
"20","MAS_CB2242","2024-07-15","NS","NS","NS","NS","1"
"21","MAS_CB2242","2024-11-07","NS","0","NS","NS",NA
"22","MAS_CNV2607","2024-01-29","NS","800","NS","NS",NA
"23","MAS_CNV2607","2024-02-14","NS","120","NS","NS",NA
"24","MAS_CNV2607","2024-03-14","1400","1480","0","830",NA
"25","MAS_CNV2607","2024-03-18","NS","0","NS","NS",NA
"26","MAS_CNV2607","2024-04-02","23","0","NS","NS",NA
"27","MAS_CNV2607","2024-04-22","230","160","0","0",NA
"28","MAS_CNV2607","2024-04-30","NS","280","NS","NS",NA
"29","MAS_CNV2607","2024-05-08","NS","640","NS","NS",NA
"30","MAS_CNV2607","2024-07-15","NS","NS","NS","NS","1"
"31","MAS_CNV2607","2024-11-07","NS","40","NS","NS",NA
"32","MAS_CB2245","2024-04-22","NS","NS","NS","NS","1"
"33","MAS_CB2245","2024-07-15","NS","NS","NS","NS","1"
"34","MAS_CB2245","2024-11-07","NS","40","NS","NS",NA
"35","MAS_CB2243","2024-04-22","NS","NS","NS","NS","1"
"36","MAS_CB2243","2024-07-15","NS","NS","NS","NS","1"
"37","MAS_CB2390","2024-04-22","NS","NS","NS","NS","1"
"38","MAS_CB2390","2024-07-15","NS","NS","NS","NS","1"
"39","MAS_CB2390","2024-11-07","NS","0","NS","NS",NA
"40","MAS_CB2244","2024-04-22","NS","NS","NS","NS","1"
"41","MAS_CB2244","2024-07-15","NS","NS","NS","NS","1"
"42","MAS_CB2249","2024-04-22","NS","NS","NS","NS","1"
"43","MAS_CB2249","2024-07-15","NS","NS","NS","NS","1"
"44","MAS_CB2249","2024-11-07","NS","NS","NS","NS","1"
"45","MAS_CB2250","2024-07-15","NS","NS","NS","NS","1"
"46","MAS_CB2250","2024-07-15","NS","NS","NS","NS","1"
"47","MAS_CB2250","2024-11-07","NS","40","NS","NS",NA
"48","MAS_CB2251","2024-04-22","NS","NS","NS","NS","1"
"49","MAS_CB2251","2024-07-15","NS","NS","NS","NS","1"
"50","MAS_CB2248","2024-04-22","NS","NS","NS","NS","1"
"51","MAS_CB2248","2024-07-15","NS","NS","NS","NS","1"
"52","MAS_CB2248","2024-11-07","NS","0","NS","NS",NA
"53","MAS_CB2247","2024-07-15","NS","NS","NS","NS","1"
"54","MAS_CB2247","2024-11-07","NS","0","NS","NS",NA
"55","MAS_CNV2616","2024-01-29","NS","1560","NS","NS",NA
"56","MAS_CNV2616","2024-02-14","NS","40","NS","NS",NA
"57","MAS_CNV2616","2024-03-14","760","360","0","0",NA
"58","MAS_CNV2616","2024-03-18","NS","0","NS","NS",NA
"59","MAS_CNV2616","2024-04-02","61","120","NS","NS",NA
"60","MAS_CNV2616","2024-04-22","140","120","NS","0",NA
"61","MAS_CNV2616","2024-04-30","NS","560","NS","NS",NA
"62","MAS_CNV2616","2024-05-08","NS","40","NS","NS",NA
"63","MAS_CNV2616","2024-07-15","NS","NS","NS","NS","1"
"64","MAS_CNV2616","2024-11-07","NS","0","NS","NS",NA
"65","MAS_CNV2614","2024-01-29","NS","680","NS","NS",NA
"66","MAS_CNV2614","2024-02-07","NS","160","NS","NS",NA
"67","MAS_CNV2614","2024-02-14","NS","NS","NS","NS","1"
"68","MAS_CNV2614","2024-03-14","NS","NS","NS","NS","1"
"69","MAS_CNV2614","2024-04-02","NS","NS","NS","NS","1"
"70","MAS_CNV2614","2024-04-22","NS","NS","NS","NS","1"
"71","MAS_CB4886","2024-04-22","NS","NS","NS","NS","1"
"72","MAS_CB4886","2024-07-15","NS","NS","NS","NS","1"
"73","MAS_CB4886","2024-11-07","NS","0","NS","NS",NA
"74","MAS_CB2395","2024-04-22","NS","NS","NS","NS","1"
"75","MAS_CB2399","2024-04-22","NS","NS","NS","NS","1"
"76","MAS_CB2397","2024-04-22","NS","NS","NS","NS","1"
"77","MAS_CB2402","2024-04-22","NS","120","NS","NS",NA
"78","MAS_CB2400","2024-04-22","NS","NS","NS","NS","1"
"79","MAS_CB2252","2024-04-22","NS","NS","NS","NS","1"
"80","MAS_CB2405","2024-04-22","NS","NS","NS","NS","1"
"81","MAS_CB2403","2024-04-22","NS","NS","NS","NS","1"
"82","MAS_CB2257","2024-04-22","NS","NS","NS","NS","1"
"83","MAS_CB2253","2024-04-22","NS","NS","NS","NS","1"
"84","MAS_CNV2637","2024-01-29","NS","1760","NS","NS",NA
"85","MAS_CNV2637","2024-02-07","51","40","NS","0",NA
"86","MAS_CNV2637","2024-02-14","NS","40","NS","NS",NA
"87","MAS_CNV2637","2024-03-14","NS","2160","NS","NS",NA
"88","MAS_CNV2637","2024-03-18","NS","0","NS","NS",NA
"89","MAS_CNV2637","2024-04-02","96","0","NS","NS",NA
"90","MAS_CNV2637","2024-04-22","3","0","NS","NS",NA
"91","MAS_CNV2637","2024-04-30","NS","680","NS","NS",NA
"92","MAS_CNV2637","2024-05-08","NS","80","NS","NS",NA
"93","MAS_CNV2637_UP","2024-03-18","NS","40","NS","NS",NA
"94","MAS_CNV2637_UP","2024-04-30","NS","440","NS","NS",NA
"95","MAS_CNV6447","2024-04-22","NS","0","NS","NS",NA
"96","MAS_CNV2638_UP","2024-03-18","NS","0","NS","NS",NA
"97","MAS_CNV2638_UP","2024-04-30","NS","640","NS","NS",NA
