"","Locator","Date","Result"
"1","BAR_CB6461",2023-12-06,"9"
"2","BAR_CNV0706",2023-12-06,"120"
"3","BAR_CNV1454",2023-12-06,"140"
"4","BAR_CNV1779",2023-12-06,"160"
"5","BAR_CNV2248",2023-12-06,"98"
"6","MAS_CNV0437",2023-12-06,"210"
"7","MAS_CNV0437",2023-12-20,"5"
"8","MAS_CNV0476",2023-12-06,"120"
"9","MAS_CNV1053",2023-12-06,"52"
"10","MAS_CNV2603",2023-12-06,"630"
"11","MAS_CNV2603",2023-12-20,"2000"
"12","MAS_CNV3946",2023-12-06,"580"
"13","MAS_CNV3946",2023-12-20,"22"
"14","MAS_CNV3952",2023-12-06,"2000"
"15","MAS_CNV3952",2023-12-20,"74"
"16","MAS_CNV5011",2023-12-06,"410"
"17","MAS_CNV5011",2023-12-20,"32"
"18","MAS_OSD1448",2023-12-06,"21"
